评论id,发布时间,用户id,昵称,性别,城市,点赞数,回复数,评论内容
4717939758468662,Fri Dec 24 14:39:16 +0800 2021,5705731040,你怎么还在坑里,f,其他,12,1,老婆你说啥就是啥
4717939767119210,Fri Dec 24 14:39:18 +0800 2021,3720444755,小王小王别活成了龙王,m,浙江 杭州,17,0,唱的很好，下次别唱了
4717939625034631,Fri Dec 24 14:38:43 +0800 2021,5641572691,早点岁,f,浙江,13,1,我给我耳朵买保险了
4717941314815501,Fri Dec 24 14:45:27 +0800 2021,5182849488,Mr-alien-dudu,m,陕西 西安,11,4,听说头大的唱歌都好听
4717940643204494,Fri Dec 24 14:42:47 +0800 2021,5353050845,小孤本狗崽,f,山东,7,1,你。。你要这么说的话。。那我也可以勉强摘下耳机
4717939855461309,Fri Dec 24 14:39:39 +0800 2021,7137440087,窗外太阳很大,m,其他,9,0,我说刚才耳边谁在唱歌呢原来是喵酱
4717941112703819,Fri Dec 24 14:44:39 +0800 2021,6477656408,_秋水日潺湲,m,其他,7,1,唱得很好，下次还要唱
4717951955240493,Fri Dec 24 15:27:44 +0800 2021,2719690694,吃花蜜的喵酱,m,其他,7,13,好听好听
4717940852918220,Fri Dec 24 14:43:37 +0800 2021,5465371009,Mzyndk64157,f,其他,6,0,送你🍎啊冰冰 
4717941193183042,Fri Dec 24 14:44:58 +0800 2021,5993048977,AE86漂一下啊,m,其他,6,2,真好听
4717941192657680,Fri Dec 24 14:44:58 +0800 2021,5995018926,super-me腾,m,江西,7,1,不行我要看视频，不然我感觉不到
4717940370576454,Fri Dec 24 14:41:42 +0800 2021,6003811243,忠橙唯影,m,山东 济南,6,1,呜呜呜姐姐好美明天考试了能给俺加油嘛
4717952546639578,Fri Dec 24 15:30:05 +0800 2021,6557437245,醉卧长安1,m,江西,4,0,希望王冰冰姐姐一直陪我下去，真是太喜欢她了，她浑身上下都散发着迷人的气息
4717943675423497,Fri Dec 24 14:54:50 +0800 2021,6557437245,醉卧长安1,m,江西,2,0,姐姐，爱你
4717949678780442,Fri Dec 24 15:18:40 +0800 2021,6557437245,醉卧长安1,m,江西,2,0,冰冰姐真是蛾眉皓齿呀
4718285343687561,Sat Dec 25 13:32:30 +0800 2021,2672052335,种花家的黑兔砸,m,其他,0,1,隔着千山万水都能听到
4717944402348266,Fri Dec 24 14:57:43 +0800 2021,7536219259,一想到你我就好开心,f,陕西 西安,1,1,哇，是的呢，天籁之音 冰冰说啥就是啥🙊
4717943919478613,Fri Dec 24 14:55:48 +0800 2021,7203108720,浅陌淡殇chihiro,f,其他,1,1,冰冰
4717943391260515,Fri Dec 24 14:53:42 +0800 2021,5071768408,阿橙橙妹,f,吉林 长春,1,1,老婆老婆！！！！
4717942476114830,Fri Dec 24 14:50:04 +0800 2021,5465371009,Mzyndk64157,f,其他,1,1,冰冰唱歌是来拯救天下苍生的
4717941355973647,Fri Dec 24 14:45:37 +0800 2021,6324648637,甜酒酿春风_yy,f,安徽,1,1,是不是该说，唱的很好，下次不要再唱了
4717940136478963,Fri Dec 24 14:40:46 +0800 2021,2736764847,崽崽会永远开心·喜,f,海外,1,1,中间有一句唱的不太好
4717939955861281,Fri Dec 24 14:40:03 +0800 2021,3954402525,抹茶味夹心薯片,m,重庆 沙坪坝区,1,1,老婆你说得都对
4717939892947307,Fri Dec 24 14:39:48 +0800 2021,5785149442,Koitae,f,其他,1,1,老婆老婆老婆老婆老婆
4717939859130229,Fri Dec 24 14:39:40 +0800 2021,2880620770,梦想家陈轶亮,m,北京,1,1,哇，好好听哦
4717940106330115,Fri Dec 24 14:40:38 +0800 2021,5656510272,-水星逆行_,f,海外,3,0,好的老婆
4717939834489201,Fri Dec 24 14:39:34 +0800 2021,6599616375,琛小蟹,m,湖南,3,0,这两张图片也太好听了吧！
4717944510089723,Fri Dec 24 14:58:09 +0800 2021,3896873842,漓様,f,其他,4,0,姐，歌在哪听呢？
4717942790685544,Fri Dec 24 14:51:18 +0800 2021,3282756631,孤狼键,m,广东,2,1,脑袋上这个红色蝴蝶结🎀好可爱
4717942304148690,Fri Dec 24 14:49:23 +0800 2021,3282756631,孤狼键,m,广东,2,1,王姐，录歌这个总能水一期视频了吧
4717939632113723,Fri Dec 24 14:38:46 +0800 2021,5998145447,陆玖阿皮,f,河南,3,0,老婆
4717996524175849,Fri Dec 24 18:24:49 +0800 2021,6483833283,yxw_1123,m,浙江 温州,2,0,我只感觉到一只鸽子的叫声
4717963486170251,Fri Dec 24 16:13:33 +0800 2021,6990095228,公子扶苏不扶墙,f,其他,4,1,王姐，我说咱们能低调点吗？我怕又和滑雪一样，赛前信心满满，比赛时光速打脸
4717954866089441,Fri Dec 24 15:39:18 +0800 2021,7519235794,吃花椒的喵酱O,m,其他,2,2,
4717941159103201,Fri Dec 24 14:44:50 +0800 2021,5737606368,Luckyforever_Lee,m,其他,4,1,啊对对对对对
4717941046641222,Fri Dec 24 14:44:23 +0800 2021,5580137226,高福亚,m,安徽 合肥,2,1,辛苦了，调音师。
4717940501381989,Fri Dec 24 14:42:13 +0800 2021,3844400647,sym诗宇末,m,江苏 苏州,2,0,我的脑海里还回响着“有点饿啊，没关系～”
4717943994716559,Fri Dec 24 14:56:06 +0800 2021,5353050845,小孤本狗崽,f,山东,0,1,唱的很好，下次不许唱了哦
4718000394994287,Fri Dec 24 18:40:12 +0800 2021,5270000846,德德彪西,m,河南 郑州,2,0,发个视频我就说这是天籁之音不然我我就不说
4717978090211711,Fri Dec 24 17:11:35 +0800 2021,5591096246,我是浪漫自由博主-,f,天津,2,1,老婆老婆老婆
4717964887327687,Fri Dec 24 16:19:07 +0800 2021,6277295693,马铃薯种的土豆,f,湖南 株洲,2,0,是谁在唱歌，温暖了土豆
4717962831071804,Fri Dec 24 16:10:57 +0800 2021,5807249199,_Zhangyof,m,山东 威海,2,0,哦？是嘛
4717958532173184,Fri Dec 24 15:53:52 +0800 2021,1905707757,恰柠檬的喵酱,m,湖北,2,1,人家唱歌要钱，你唱歌那是要……
4717944850350965,Fri Dec 24 14:59:29 +0800 2021,5213435830,有点孩怕的喵酱,m,内蒙古,1,1,今日听君歌一曲，谪居卧病浔阳城  今日听君歌一曲，呕哑嘲哳难为听  今日听君歌一曲，杜鹃啼血猿哀鸣  今日听君歌一曲，屋漏偏逢连夜雨 今日听君歌一曲，归来倚杖自叹息  今日听君歌一曲，猿鸣三声泪沾裳  今日听君歌一曲，路上行人欲断魂 今日听君歌一曲，地崩山摧壮士死  bushi开玩笑
4717941448510159,Fri Dec 24 14:45:59 +0800 2021,5861164649,我懒羊羊回来咯,f,江苏,1,1,老婆到我枕头边上唱
4717941246921709,Fri Dec 24 14:45:11 +0800 2021,5861164649,我懒羊羊回来咯,f,江苏,1,1,干嘛  怎么一吵架就去录歌啊
4717940148277189,Fri Dec 24 14:40:49 +0800 2021,5371778069,饼干宋的脑袋困掉了,m,其他,1,1,颅登的回声
4717939804081322,Fri Dec 24 14:39:27 +0800 2021,5773689072,燃烧小狗,m,其他,1,1,老婆唱歌太好听啦！！！
4717939636570190,Fri Dec 24 14:38:47 +0800 2021,3952133642,素人圈在逃宋太太,f,浙江,2,1,老婆
4717939616385008,Fri Dec 24 14:38:42 +0800 2021,3496416764,螺旋儿想伸手触月_,f,湖北 武汉,2,0,好美哦
4717959613777639,Fri Dec 24 15:58:10 +0800 2021,5213435830,有点孩怕的喵酱,m,内蒙古,3,2,今日听君歌一曲，谪居卧病浔阳城  今日听君歌一曲，呕哑嘲哳难为听  今日听君歌一曲，杜鹃啼血猿哀鸣  今日听君歌一曲，屋漏偏逢连夜雨 今日听君歌一曲，归来倚杖自叹息  今日听君歌一曲，猿鸣三声泪沾裳  今日听君歌一曲，路上行人欲断魂 今日听君歌一曲，地崩山摧壮士死  开玩笑
4717939909463515,Fri Dec 24 14:39:52 +0800 2021,5893786598,天锁斩月123,m,河北,3,0,是的是的，是终于更新的咕咕声呢
4719135344820282,Mon Dec 27 21:50:05 +0800 2021,3896873842,漓様,f,其他,2,0,姐胡夏关注你了，快回关
4718640002238620,Sun Dec 26 13:01:47 +0800 2021,3612817945,AimeAC沃特梅伦,f,北京 朝阳区,1,0,@吃花椒的喵酱 冰冰 
4718363836941858,Sat Dec 25 18:44:24 +0800 2021,5266932712,李闊私人微博,m,吉林,2,0,冰冰你知道吗？你走了以后我跟别人玩石头剪刀布都只能出剪刀了，因为你就是我的拳布啊
4718083531080731,Sat Dec 25 00:10:34 +0800 2021,6423677038,元气小狗类人学,f,其他,1,1,可恶是让你唱歌不是让你唱我的心动
4718066208347740,Fri Dec 24 23:01:44 +0800 2021,7276892328,源味奶闻biu,m,其他,1,1,你说是就是吧
4718012290044080,Fri Dec 24 19:27:29 +0800 2021,3322241772,傲娇狐狸齐司礼-,f,海外 其他,1,0,冰冰老婆
4718008465098319,Fri Dec 24 19:12:16 +0800 2021,2970858627,一条无趣的宇宙咸鱼王,m,北京 朝阳区,1,0,古人云，鱼音绕梁，三日不绝王冰冰超话@吃花椒的喵酱
4718001792750088,Fri Dec 24 18:45:46 +0800 2021,5799382893,吴同学想睡觉_,f,福建,1,0,啊对对对
4717995971054831,Fri Dec 24 18:22:38 +0800 2021,6878586833,取巧了,m,其他,1,0,听到了
4717995895817715,Fri Dec 24 18:22:20 +0800 2021,6878586833,取巧了,m,其他,1,0, 
4717994401857657,Fri Dec 24 18:16:23 +0800 2021,6492111320,怪诞博士xwj,m,其他,2,0,又要辛苦修音师傅了
4717987770925680,Fri Dec 24 17:50:02 +0800 2021,5369640668,清纯好骗美女,f,其他,1,0,真是漂亮她妈给漂亮开门，漂亮到家了
4717980632482065,Fri Dec 24 17:21:40 +0800 2021,1759559671,杰克逊八度空间,m,上海 松江区,1,1,天籁之音？调音师都指望你呢，升职加薪指日可待
4717979780778893,Fri Dec 24 17:18:18 +0800 2021,5696312687,-小杨双子,m,广东 揭阳,1,0,确实，就是挺费修音师的
4717961895477735,Fri Dec 24 16:07:13 +0800 2021,5729015062,陈天爱睡觉呼呼呼,f,河南,1,0,挖藕，真是动听悦耳都不足以形容啊 
4717957353050021,Fri Dec 24 15:49:11 +0800 2021,2044961293,鱼缸仿生水草,f,湖南,1,1,老婆嘴一个
4717956565566128,Fri Dec 24 15:46:02 +0800 2021,5036488029,覃木木心,m,广东 深圳,1,0,难道就我关注了大红蝴蝶结🎀 吗
4717956401988085,Fri Dec 24 15:45:23 +0800 2021,1774058095,_BoOmtao,m,云南 昆明,1,0,你们都没老婆的？非要叫我老婆老婆
4717954442726709,Fri Dec 24 15:37:37 +0800 2021,2366162011,o社交自闭症o,m,山东,1,0,今年主持春晚嘛！冰冰老婆
4717950387620696,Fri Dec 24 15:21:30 +0800 2021,1887538642,斌小滨,m,山东 青岛,1,1,图片评论 
4717947350945075,Fri Dec 24 15:09:26 +0800 2021,1899146143,_生椰拿铁不加冰,f,辽宁,1,1,听到了听到了 两只耳朵都听到了
4717946607767181,Fri Dec 24 15:06:29 +0800 2021,7458472878,永夜晨曦_,m,河北,1,1,此曲只应天上有，人家能得几回闻？今日听君歌一曲，余音绕梁三日休
4717946456769493,Fri Dec 24 15:05:53 +0800 2021,1736263965,盛夏彬彬,m,江苏 南京,1,0,喵咪咪喵咪咪喵咪咪
4717945785944581,Fri Dec 24 15:03:13 +0800 2021,5667557818,蒋欣的小柠萌,f,山东 滨州,1,0,那当然了
4717943571613361,Fri Dec 24 14:54:25 +0800 2021,1618608635,猛踹瘸子的另一条好腿,m,北京,1,0,是心动啊 糟糕眼神躲不掉
4717943084027234,Fri Dec 24 14:52:29 +0800 2021,7192483576,山林之道,m,江苏,1,0,是不是要调音师
4717942870639161,Fri Dec 24 14:51:37 +0800 2021,6634268785,茉莉草莓-,f,广东,0,1,瞧把你能的
4717942556068515,Fri Dec 24 14:50:23 +0800 2021,3742842004,我也不知道为啥改这名,m,安徽 安庆,1,0,调音师又加班了？
4717942539553065,Fri Dec 24 14:50:19 +0800 2021,5899998431,唐印的小公举,m,江苏 常州,1,0,老婆老婆老婆老婆
4717942342418668,Fri Dec 24 14:49:31 +0800 2021,5802073586,一南栀倾寒兮一,m,浙江 杭州,1,0,是天国的声音老婆是天使
4717942152890183,Fri Dec 24 14:48:47 +0800 2021,5074522740,SNH48-曾艳芳,f,广东,1,0,又开大头特效了
4717942086305784,Fri Dec 24 14:48:31 +0800 2021,5633535734,润润子露,m,广东,1,0,几天不见，冰冰你飘了呀 
4717941897040028,Fri Dec 24 14:47:46 +0800 2021,5922713791,水草Robot,m,江苏,1,0,来人，上百万调音师
4717941838841957,Fri Dec 24 14:47:32 +0800 2021,5933812900,买EDG冠军皮肤了没,m,陕西,1,0,哇，冰冰
4717941792445579,Fri Dec 24 14:47:21 +0800 2021,5802073586,一南栀倾寒兮一,m,浙江 杭州,1,0,不愧是我老婆
4717941595311187,Fri Dec 24 14:46:34 +0800 2021,6919168689,与我常在o0O,f,安徽,2,0,隔着屏幕都感受到了老婆的温柔
4717941481803379,Fri Dec 24 14:46:07 +0800 2021,6074142833,·起司就是力量·,f,广东 深圳,0,1,老婆好美 老婆好美 老婆好美
4717941281263128,Fri Dec 24 14:45:19 +0800 2021,5802073586,一南栀倾寒兮一,m,浙江 杭州,1,0,换了多少个调音老师
4717940887259672,Fri Dec 24 14:43:45 +0800 2021,6089551348,玺爱歌的兔子,f,山东,1,0,
4717940786858679,Fri Dec 24 14:43:21 +0800 2021,6013841394,你的辣茶叶小刘,m,海外 英国,1,0,比～卡～丘！
4717940676494598,Fri Dec 24 14:42:55 +0800 2021,2805313420,·愉悅事物清單·,f,四川,1,0,老婆老婆老婆
4717940534674757,Fri Dec 24 14:42:21 +0800 2021,3122534861,Coffeeholicisme,m,广东 广州,1,0,辛苦调音师了
4717940044202951,Fri Dec 24 14:40:24 +0800 2021,6073974580,是快快乐乐的Vita_,f,浙江 杭州,1,0,好甜好甜！
4717939997282905,Fri Dec 24 14:40:13 +0800 2021,5664892873,UM_yan,f,其他,1,0,没错没错
4717939880889717,Fri Dec 24 14:39:45 +0800 2021,6575344841,shjdssxsyydaw_,f,重庆,1,0,老婆唱歌最好听
4717939632636951,Fri Dec 24 14:38:46 +0800 2021,7213483969,捧一盏陈酿敬青山,f,其他,1,0,老婆给我亲亲
4717939607473352,Fri Dec 24 14:38:40 +0800 2021,1011354502,桔梗和枫,f,湖北,1,0,好哇塞
4719824670818610,Wed Dec 29 19:29:13 +0800 2021,5289251929,竹节香芙,m,广东,1,0,啥时候更视频
4719117522702388,Mon Dec 27 20:39:17 +0800 2021,7397812177,扎花圈的喵酱,m,吉林 白山,5,0,和王俊凯的唱功一比……冰冰对得起你小学六年级的身份
4717996474630570,Fri Dec 24 18:24:37 +0800 2021,6511486159,小企鹅在北极捉不到白敬亭,f,其他,1,0,@一条比较话多的喵- 
4717962759508002,Fri Dec 24 16:10:40 +0800 2021,7690523580,吃氢弹的喵酱,m,其他,1,0,好喜欢你的大红花
4717939741165166,Fri Dec 24 14:39:12 +0800 2021,6520891001,喵团团喵饼饼,f,安徽,1,0,我听到了
4720074739159608,Thu Dec 30 12:02:55 +0800 2021,1050068877,开过光的锦鲤,m,海外 西班牙,2,0,我老婆好美
4717942137161994,Fri Dec 24 14:48:43 +0800 2021,1907571253,重生之我不是环奈,f,海外,2,0,冰冰 今晚小心一个白胡子老头 他可能会把你扔进袋子里 因为我想要的圣诞礼物是你
4717939783896378,Fri Dec 24 14:39:22 +0800 2021,5616252066,呃乛一乛,m,辽宁 沈阳,1,0,老婆！不是说好了这两张照片只给我一人看吗
4726101421588857,Sun Jan 16 03:10:48 +0800 2022,3002800261,轻风点骑万里云,m,辽宁,1,0,p2好温柔呀，像一只乖巧文静的小猫
4720117214611230,Thu Dec 30 14:51:42 +0800 2021,2470912511,牛牛正在变好,f,北京 东城区,1,0,老婆我爱你
4720073162099152,Thu Dec 30 11:56:39 +0800 2021,7509518673,你的秘制蒜蓉酱,f,其他,1,0,我看到了天籁之音
4719874960523950,Wed Dec 29 22:49:03 +0800 2021,6334762189,Hulk2022,m,北京,1,0,冰不参加冬捕了我想看胖头鱼公主捕鱼
4718990112854519,Mon Dec 27 12:13:00 +0800 2021,7532393621,光光蜓和双双鱼,m,上海,1,0,今年进博会在海上书房，戴着口罩的情况下，第一个认出女神王冰冰，快夸我
4718926422607210,Mon Dec 27 07:59:55 +0800 2021,6773667923,亚楠的喵,m,其他,1,0,等等！！！更新了？？？？
4718696263845774,Sun Dec 26 16:45:21 +0800 2021,6871865604,我的心都是冰冰等我,m,重庆,1,0,如果有一天你嫁为人妻娶请别忘记你是我毕生的梦想。
4718696074841129,Sun Dec 26 16:44:36 +0800 2021,6871865604,我的心都是冰冰等我,m,重庆,1,0,我爱过  我痛过  我恨过  我疼过  我等过  我念过  我醉过  我笑过  我哭过  我伤过  我有过  我梦过  我懂过  我累过  我流泪过  我失望过  我难过过  就是没被作者顶置过
4718628849845789,Sun Dec 26 12:17:28 +0800 2021,6639805460,酒哩想当攻,f,广东,1,1,老婆说啥就是啥
4718599027556643,Sun Dec 26 10:18:57 +0800 2021,6209969517,是狂飚啊,m,陕西 西安,1,0,好美啊
4718454424470610,Sun Dec 26 00:44:22 +0800 2021,6570916276,吃花椒的行止,m,海外 斯洛文尼亚,1,0,冰冰赢啦
4718447672690231,Sun Dec 26 00:17:32 +0800 2021,6299352648,拿着镰和锤的耶稣,m,其他,1,0,“鸽王”詹姆斯韦伯望远镜都要上天了，王姐啥时候更新啊？
4718375634472386,Sat Dec 25 19:31:17 +0800 2021,5706787983,鹘鹰1号,m,其他,1,0,我觉得听起来更像真人版鬼畜
4718272966300002,Sat Dec 25 12:43:19 +0800 2021,2144840972,是徽徽不是微微a,m,安徽 安庆,1,0,耳朵怀孕了  孩子马上掉出来了
4718261239546671,Sat Dec 25 11:56:42 +0800 2021,5529811475,双鱼座的lin9525,m,福建 宁德,1,0,百万调音师听了直摇头
4718217413789994,Sat Dec 25 09:02:34 +0800 2021,5415498782,吃王咕咕的喵酱,m,吉林 吉林,1,0,调音师辛苦了
4718089856616365,Sat Dec 25 00:35:42 +0800 2021,5408844549,一本25页的書,m,四川 阿坝,1,0,对对对天籁之音
4718074969984679,Fri Dec 24 23:36:33 +0800 2021,6868760303,吃花椒的胖头冰,m,江苏,1,0,我来迟了
4718073159093090,Fri Dec 24 23:29:21 +0800 2021,6871865604,我的心都是冰冰等我,m,重庆,1,0,真好听下次别唱了
4718070289927652,Fri Dec 24 23:17:57 +0800 2021,7220148185,最勇敢的修勾,m,江苏,1,0,我不信，除非真让我听见
4718062106839840,Fri Dec 24 22:45:26 +0800 2021,7304023173,吃喵酱的鱼丸,f,其他,3,0,如听仙乐耳暂明
4718055366328950,Fri Dec 24 22:18:38 +0800 2021,6992868456,渠芺,m,江西 南昌,1,0,
4718045828219647,Fri Dec 24 21:40:44 +0800 2021,3414705962,雪车子,m,安徽 六安,1,0,是的
4718043278872811,Fri Dec 24 21:30:37 +0800 2021,6576422758,别哭快点背单词,m,其他,1,0,55555老婆 考研考不上 不能去东北找你了
4718036394707568,Fri Dec 24 21:03:16 +0800 2021,7116103384,蛋包饭爱吃香菜,f,黑龙江 大庆,1,0,哈哈哈哈哈哈哈老婆更新了
4718028849152950,Fri Dec 24 20:33:17 +0800 2021,6064126930,无宇伦比为宇沉伦,m,海外,1,1,冰冰老婆好好看，期待视频
4718014584853565,Fri Dec 24 19:36:36 +0800 2021,6759277003,怀柔陶渊明,f,北京 怀柔区,1,1,啊～老婆老婆记得吃苹果🍎哦
4718007370389299,Fri Dec 24 19:07:56 +0800 2021,1984909540,梦想飞上天空的企鹅,m,安徽 宣城,1,0,第一张：我要一展歌喉了 第二张：我还是闭口吧 @吃花椒的喵酱 @尼格买提
4718003613077415,Fri Dec 24 18:53:00 +0800 2021,3803666722,车马邮寄23,m,四川 绵阳,1,0,是的嘞
4718001401894456,Fri Dec 24 18:44:13 +0800 2021,5516532405,浩东ddd,m,内蒙古,1,0,敬爱的王姐，携手百万头粉 跪求您今年跨年的时候再来一次和去年一样的直播并作为长期保留节目 （兄弟们送我上去！@吃花椒的喵酱
4717997120032416,Fri Dec 24 18:27:12 +0800 2021,6540426620,廓周心,m,辽宁,1,0,冰冰姐你关注安徽女孩无锡失联事件了吗  这事件不简单
4717995311762037,Fri Dec 24 18:20:01 +0800 2021,7213693692,一个庄周骑着鲲,m,辽宁,1,0,兄弟们快跑
4717995307829237,Fri Dec 24 18:20:00 +0800 2021,1657677695,Great-Master,f,福建 厦门,1,0,年底了…这是喵酱给调音师冲业绩了…她还是那么暖心
4717991092292142,Fri Dec 24 18:03:15 +0800 2021,6001749603,-Lnslios-,m,四川 巴中,1,0,吹爆好吧😊
4717989687200628,Fri Dec 24 17:57:40 +0800 2021,3675340632,钢炮霸霸,m,浙江 杭州,1,0,妈妈说今年必须得带你回家了
4717989683527987,Fri Dec 24 17:57:38 +0800 2021,5213942039,Timor和Teemo,m,其他,1,0,大 大 大
4717986059649170,Fri Dec 24 17:43:14 +0800 2021,5582471849,卡比兽不是肥宅,m,四川 成都,1,0,隔着屏幕都能听到调音师的哭声
4717983261788848,Fri Dec 24 17:32:08 +0800 2021,6973066478,毛熊家的Hauptmann,m,海外,1,0,姐姐说说，雇了几个调音师
4717983073043695,Fri Dec 24 17:31:23 +0800 2021,2108108032,HumanD,m,上海,1,0,从来不评论的，感觉这两张特别美，声音特别动人
4717974974630751,Fri Dec 24 16:59:12 +0800 2021,7376943856,KonMuGi,m,其他,1,0,天籁之颜有了，天籁之音难说
4717974683913524,Fri Dec 24 16:58:03 +0800 2021,7510004532,Jx-Tan_GEOLOGY,m,北京,1,0,好好听
4717974433302875,Fri Dec 24 16:57:03 +0800 2021,1803659593,sunnyeterna,m,江苏 南京,1,0,自己人，别开腔
4717973049442382,Fri Dec 24 16:51:32 +0800 2021,2771685287,你也可曾是少年,m,天津 南开区,1,0,瑟瑟发抖
4717970516085071,Fri Dec 24 16:41:29 +0800 2021,2108108032,HumanD,m,上海,1,0,头饰美
4717966518386944,Fri Dec 24 16:25:35 +0800 2021,1635319890,HeartDr_Li,m,北京 西城区,1,0,我 听 不 到！ 除非冰冰当面给我唱
4717965150260542,Fri Dec 24 16:20:10 +0800 2021,1624371887,惹不起的熊,m,其他,1,0,
4717963980310797,Fri Dec 24 16:15:31 +0800 2021,5320797336,吃饱喝足向前冲,f,其他,1,0,老婆好美天籁之音听到啦
4717959325159342,Fri Dec 24 15:57:01 +0800 2021,6516759078,原鳥宿,m,其他,1,0,抢什么抢？你们没有老婆的吗？干嘛叫我老婆
4717959286882376,Fri Dec 24 15:56:51 +0800 2021,5738401530,好夫君,m,天津,1,0,不好意思，家妻献丑了，我代她跟大家配个不是
4717957910889000,Fri Dec 24 15:51:23 +0800 2021,6624325848,吃小熊不吃饼,m,陕西 西安,1,0,说得好，已经把声音关了
4717956774758599,Fri Dec 24 15:46:53 +0800 2021,6335291759,Husher_,m,其他,1,0,辛苦调音师了
4717956213246127,Fri Dec 24 15:44:39 +0800 2021,7490838560,草莓味的Look,f,浙江,1,0,胖头鱼之声
4717955521446994,Fri Dec 24 15:41:54 +0800 2021,6091055850,饲料鸡进化史,m,北京 东城区,1,0,你的歌声看着真甜
4717954359362496,Fri Dec 24 15:37:17 +0800 2021,2439362442,絵空事灬,m,上海,1,0,坏女人，明明已经偷了我的心 还把吃花胶的喵酱的Vlog藏起来！ 隔着屏幕还要提醒我互动一次获得铁粉！！！
4717951800838397,Fri Dec 24 15:27:07 +0800 2021,2898873601,我的老爸善良健康,m,四川 成都,1,0,不好意思 家妻让诸位见笑了
4717951573559312,Fri Dec 24 15:26:13 +0800 2021,6899486282,aRplusLi,m,贵州,1,0,情侣上衣
4717950801546066,Fri Dec 24 15:23:09 +0800 2021,6227638308,卜卜生威,m,山东 烟台,2,0,我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。我爱冰冰。冰冰爱我。
4717950461804757,Fri Dec 24 15:21:47 +0800 2021,5282015139,奶罐坤坤的宝贝华子,f,其他,1,1,老婆请放出未修音版本
4717950462855212,Fri Dec 24 15:21:48 +0800 2021,6150186018,凑明的纱夏,m,黑龙江 哈尔滨,1,1,被魔鬼亲吻的嗓子
4717949754016629,Fri Dec 24 15:18:58 +0800 2021,6379301535,十年磨一剑呗,m,广东 广州,1,0,哇
4717948831269976,Fri Dec 24 15:15:18 +0800 2021,3196154512,藏涵子,f,其他,1,0,辛苦调音师了
